AtomicNumber,Element,Symbol,AtomicWeight,Period,Group,StandardState,MostStableCrystal,Type,IonicRadius,AtomicRadius,Electronegativity,FirstIonizationPotential,OxidationStates,Density,MeltingPointKelvin,BoilingPointKelvin,Isotopes,Discoverer,YearOfDiscovery,SpecificHeatCapacity,ElectronConfiguration,DisplayRow,DisplayColumn,Facts
102,Nobelium,No,259,7,31,Solid,,Actinide,,,1.3,6.65,"+3, +2",,,,73,"Glenn T. Seaborg, Joint Institute for Nuclear Research",1958,,[Rn]7s2 5f14,9,16,"Nobelium is a synthetic, radioactive element named after Alfred Nobel, the inventor of dynamite and founder of the Nobel Prizes. It was first synthesized in 1958 by a team of Russian and Swedish scientists. Nobelium is produced by bombarding curium with carbon nuclei, resulting in a few atoms of the element. Due to its high radioactivity and scarcity, it has no significant practical applications outside of research. Nobelium’s most stable isotope, nobelium-259, has a half-life of approximately 58 minutes. The element is used in studies related to the synthesis of superheavy elements and nuclear reactions. Nobelium is a member of the actinide series, and its discovery has helped scientists understand the properties of elements in this group. Though it is primarily of interest to nuclear chemists and physicists, nobelium does not have widespread industrial or medical uses due to its limited availability and high radioactivity."
103,Lawrencium,Lr,262,7,32,Solid,,Actinide,,,,,3,,,,203,Lawrence Berkeley National Laboratory,1961,,[Rn]7s2 5f14 6d1,9,17,"Lawrencium is a synthetic element named after Ernest O. Lawrence, the inventor of the cyclotron, which made possible the acceleration of particles to create heavy elements. It was first synthesized in 1961 by Albert Ghiorso, Glenn T. Seaborg, and their team. Lawrencium is produced by bombarding smaller elements, such as californium, with ions. Its most stable isotope, lawrencium-257, has a half-life of approximately 27 seconds. Lawrencium is a member of the actinide series, and its properties are similar to those of other elements in this group. Due to its radioactivity and short half-life, lawrencium has no practical uses outside of scientific research. It plays a role in understanding the behavior of actinides and the synthesis of superheavy elements. Like many other synthetic elements, lawrencium is studied primarily for its atomic structure and its place in the periodic table, rather than for any commercial or industrial applications."
104,Rutherfordium,Rf,261,7,4,Solid,,Transition metal,,,,,4,18.1,,,,"Albert Ghiorso, Joint Institute for Nuclear Research",1969,,[Rn]7s2 5f14 6d2,7,4,"Rutherfordium is a synthetic, radioactive element named after physicist Ernest Rutherford, who is credited with discovering the atomic nucleus. It was first synthesized in 1964 by a team of scientists in the Soviet Union, though later experiments in the United States and Germany also confirmed its discovery. Rutherfordium is produced by bombarding californium with carbon nuclei. It has no practical uses outside of scientific research due to its extremely short half-life (its most stable isotope, rutherfordium-267, has a half-life of just over an hour). The element is studied primarily to understand the behavior of superheavy elements and nuclear chemistry. Rutherfordium is a member of the transactinide series, and its discovery was an important step in extending the periodic table beyond uranium. Research on rutherfordium and other superheavy elements helps scientists explore the boundaries of the periodic table and the fundamental principles of nuclear stability."
105,Dubnium,Db,262,7,5,Solid,,Transition metal,,,,,"5, 4, 3",39,,,,"Lawrence Berkeley National Laboratory, Albert Ghiorso, Joint Institute for Nuclear Research",1970,,[Rn]7s2 5f14 6d3,7,5,"Dubnium is a synthetic, radioactive element named after Dubna, Russia, the location of the Joint Institute for Nuclear Research where it was first synthesized. It was discovered in 1970 by scientists working in the Soviet Union, and its synthesis was later confirmed by teams in the United States and Germany. Dubnium is produced by bombarding californium with neon nuclei. Its most stable isotope, dubnium-268, has a half-life of just over 30 minutes. Like other superheavy elements, dubnium has no significant industrial or commercial uses due to its short half-life and radioactivity. It is primarily used for research in nuclear physics and chemistry, especially in the study of the actinide and transactinide series. The element's discovery expanded our understanding of the behavior of elements at the extreme end of the periodic table and helped set the stage for further studies of superheavy elements."
106,Seaborgium,Sg,266,7,6,Solid,,Transition metal,,,,,"6, 5, 4, 3, 0",35,,,,"Lawrence Berkeley National Laboratory, Albert Ghiorso",1974,,[Rn]7s2 5f14 6d4,7,6,"Seaborgium is a synthetic, radioactive element named in honor of Glenn T. Seaborg, the American chemist who contributed significantly to the discovery of transuranium elements. It was first synthesized in 1974 by a team of scientists at the Lawrence Berkeley National Laboratory. Seaborgium is produced by bombarding curium with oxygen nuclei. Its most stable isotope, seaborgium-271, has a half-life of about 2 minutes. Like many other superheavy elements, seaborgium is not used in industry or medicine due to its extreme radioactivity and short half-life. Instead, it is primarily studied in nuclear research to understand the properties of the heaviest known elements. Seaborgium's discovery helped to fill in gaps in the periodic table and provide new insights into the structure of matter at the atomic level."
107,Bohrium,Bh,264,7,7,Solid,,Transition metal,,,,,"7, 5, 4, 3",37,,,,"Peter Armbruster, Gottfried Münzenberg",1981,,[Rn]7s2 5f14 6d5,7,7,"Bohrium is a synthetic, radioactive element named after Danish physicist Niels Bohr, who made foundational contributions to atomic theory. It was first synthesized in 1987 by a team of German scientists at the Heavy Ion Research Facility in Darmstadt. Bohrium is produced by bombarding small amounts of the element bismuth with ions of chromium. Its most stable isotope, bohrium-270, has a half-life of around 61 seconds. Due to its highly radioactive nature and extremely short half-life, bohrium has no practical applications. It is studied primarily for research into the properties of superheavy elements and nuclear reactions. Bohrium's discovery was another milestone in the search for new elements and further expanded our understanding of nuclear physics and chemistry."
108,Hassium,Hs,267,7,8,Solid,,Transition metal,,,,,"8, 6, 5, 4, 3, 2",41,,,,"Peter Armbruster, Gottfried Münzenberg",1983,,[Rn]7s2 5f14 6d6,7,8,"Hassium is a synthetic, radioactive element named after the German state of Hesse, where it was first synthesized in 1984. It was produced by bombarding the element seaborgium with ions of calcium. Hassium's most stable isotope, hassium-277, has a half-life of about 11 seconds. Like other superheavy elements, hassium is highly unstable and is not used in any commercial applications. Its study provides valuable insights into the behavior of the heaviest elements and helps scientists understand the limits of the periodic table. Hassium is used mainly for research in nuclear physics and chemistry, particularly in the areas of element synthesis and the understanding of nuclear structure."
109,Meitnerium,Mt,268,7,9,Solid,,Transition metal,,,,,"9, 8, 6, 4, 3, 1",35,,,,"Peter Armbruster, Gottfried Münzenberg",1982,,[Rn]7s2 5f14 6d7 (calculated),7,9,"Meitnerium is a synthetic, radioactive element named after Lise Meitner, an Austrian-Swedish physicist who contributed to the discovery of nuclear fission. It was first synthesized in 1982 by a team of scientists at the GSI Helmholtz Centre for Heavy Ion Research in Germany. Meitnerium is produced by bombarding bismuth with ions of iron. Its most stable isotope, meitnerium-278, has a half-life of around 7.6 seconds. Like other superheavy elements, meitnerium is not used in practical applications due to its extreme radioactivity and short half-life. It is primarily studied in nuclear physics for its properties, which contribute to the understanding of the heaviest elements and nuclear reactions. Meitnerium’s discovery was part of the ongoing effort to extend the periodic table and push the limits of known chemistry."
110,Darmstadtium ,Ds ,271,7,10,Expected to be a Solid,,Transition metal,,,,,"8, 6, 4, 2, 0",,,,,Sigurd Hofmann,1994,,[Rn]7s2 5f14 6d8 (predicted),7,10,"Darmstadtium is a synthetic, radioactive element named after the German city of Darmstadt, where it was first synthesized in 1994. It was produced by bombarding nickel with ions of zinc. Darmstadtium's most stable isotope, darmstadtium-281, has a half-life of about 12.7 seconds. Due to its extreme instability, it has no practical uses outside of scientific research. Darmstadtium is studied for its nuclear properties and its position in the periodic table, helping scientists better understand the behavior of superheavy elements. Its discovery, along with the discovery of other elements in this range, has contributed to expanding knowledge in nuclear chemistry and physics, particularly regarding the limits of atomic number and the stability of heavy elements."
111,Roentgenium ,Rg ,272,7,11,Expected to be a Solid,,Transition metal,,,,,"5, 3, 1, -1",,,,,Sigurd Hofmann,1994,,[Rn]7s2 5f14 6d9 (predicted),7,11,"Roentgenium is a synthetic, radioactive element named after Wilhelm Röntgen, the German physicist who discovered X-rays. It was first synthesized in 1994 by a team of scientists at the GSI Helmholtz Centre for Heavy Ion Research in Germany. Roentgenium is produced by bombarding gold with ions of zinc. Its most stable isotope, roentgenium-282, has a half-life of about 2.1 minutes. Roentgenium has no practical applications due to its radioactivity and the difficulty of producing it in significant quantities. Like other superheavy elements, it is mainly studied in the context of nuclear research to understand the properties of these elements and the limits of the periodic table. Roentgenium’s discovery has expanded our understanding of the behavior of elements with very high atomic numbers and their potential for stability."
112,Copernicium ,Cn ,285,7,12,Expected to be a Solid,,Transition metal,,,,,"2, 1, 0",,,,,Sigurd Hofmann,1996,,[Rn]7s2 5f14 6d10 (predicted),7,12,"Copernicium is a synthetic, radioactive element named after the astronomer Nicolaus Copernicus, who formulated the heliocentric model of the solar system. It was first synthesized in 1996 by a team of scientists at the GSI Helmholtz Centre for Heavy Ion Research in Germany. Copernicium is produced by bombarding lead with ions of zinc. Its most stable isotope, copernicium-285, has a half-life of about 29 seconds. Copernicium does not have any practical applications due to its extreme radioactivity and the difficulty of producing it in large amounts. It is mainly used in nuclear research to study the properties of superheavy elements and to push the boundaries of atomic physics. Copernicium's discovery is significant in the context of exploring the theoretical limits of the periodic table and the stability of heavy elements."
113,Nihonium ,Nh ,284,7,13,Expected to be a Solid,,Post-transition metal,,,,,,,,,,Riken,2003,,[Rn]5f14 6d10 7s2 7p1 (predicted),7,13,"Nihonium is a synthetic, radioactive element named after Japan (from the Japanese word ""Nihon,"" meaning Japan). It was first synthesized in 2004 by a team of Japanese scientists at the RIKEN Nishina Center for Accelerator-Based Science. Nihonium is produced by bombarding bismuth with zinc ions. Its most stable isotope, nihonium-286, has a half-life of about 10 seconds. Nihonium does not have practical applications outside of scientific research due to its radioactivity and the difficulty in producing enough of it. It is studied primarily for its properties in the context of nuclear chemistry and physics, particularly in understanding the behavior of superheavy elements and the limits of the periodic table. Nihonium’s discovery represents a significant achievement in the study of synthetic elements, as it was the first element to be confirmed by a Japanese research team."
114,Flerovium ,Fl ,289,7,14,Expected to be a Solid,,Post-transition metal,,,,,"6, 4,2, 1, 0",,,,,"Joint Institute for Nuclear Research, Sigurd Hofmann, Flerov Laboratory of Nuclear Reactions",1998,,[Rn]7s2 7p2 5f14 6d10 (predicted),7,14,"Flerovium is a synthetic, radioactive element named after the Russian physicist Georgy Flerov, who was instrumental in the development of the study of superheavy elements. It was first synthesized in 1998 by a team of scientists at the Joint Institute for Nuclear Research in Dubna, Russia. Flerovium is produced by bombarding plutonium with calcium ions. Its most stable isotope, flerovium-289, has a half-life of about 2.6 seconds. Flerovium has no practical applications due to its extreme radioactivity and short half-life. Like other superheavy elements, it is studied primarily for its nuclear properties and to explore the stability of elements at the end of the periodic table. Flerovium’s discovery contributes to the broader effort of understanding the structure and stability of superheavy nuclei and pushes the boundaries of known chemistry."
115,Moscovium ,Mc ,288,7,15,Expected to be a Solid,,Post-transition metal,,,,,"3, 1",,,,,"Joint Institute for Nuclear Research, Sigurd Hofmann, Flerov Laboratory of Nuclear Reactions",2003,,[Rn]7s2 7p3 5f14 6d10 (predicted),7,15,"Moscovium is a synthetic, radioactive element named after Moscow, Russia. It was first synthesized in 2004 by a team of scientists from Russia and the United States at the Joint Institute for Nuclear Research in Dubna, Russia. Moscovium is produced by bombarding americium with calcium ions. Its most stable isotope, moscovium-288, has a half-life of about 220 milliseconds. Moscovium has no practical uses due to its extreme radioactivity and the fact that only tiny amounts have been produced. It is primarily studied in nuclear physics and chemistry to help scientists understand the properties of superheavy elements and explore the boundaries of the periodic table. The discovery of moscovium and its cousins in the superheavy element group continues to fuel interest in the synthesis of elements beyond uranium and the exploration of nuclear stability."
116,Livermorium ,Lv ,292,7,16,Expected to be a Solid,,Post-transition metal,,,,,"+4, +2, -2",,,,,Joint Institute for Nuclear Research,2000,,[Rn]7s2 7p4 5f14 6d10 (predicted),7,16,"Livermorium is a synthetic, radioactive element named after Lawrence Livermore National Laboratory in California, in recognition of the contributions of the laboratory to the study of superheavy elements. It was first synthesized in 2000 by a team of scientists at the Joint Institute for Nuclear Research in Dubna, Russia, and Lawrence Livermore National Laboratory in the United States. Livermorium is produced by bombarding tennessine with calcium ions. Its most stable isotope, livermorium-293, has a half-life of about 60 milliseconds. Livermorium has no practical applications outside of research due to its extreme instability and radioactivity. It is studied primarily for its nuclear properties and its place in the periodic table, helping to expand the understanding of the behavior of superheavy elements."
117,Tennessine ,Ts ,295,7,17,Expected to be a Solid,,Halogen,,,,,"+5, +3, +1, -1",,,,,"Joint Institute for Nuclear Research, Yuri Oganessian",2010,,[Rn]7s2 7p5 5f14 6d10 (predicted),7,17,"Tennessine is a synthetic, radioactive element named after the state of Tennessee, in recognition of the contributions of the Oak Ridge National Laboratory and the University of Tennessee to the discovery of superheavy elements. It was first synthesized in 2010 by a team of Russian and American scientists at the Joint Institute for Nuclear Research in Dubna, Russia, and the Oak Ridge National Laboratory in Tennessee. Tennessine is produced by bombarding moscovium with calcium ions. Its most stable isotope, tennessine-294, has a half-life of about 20 milliseconds. Tennessine has no practical applications due to its extreme radioactivity and the fact that only a few atoms of it have been produced. It is mainly studied for its nuclear properties and its place in the actinide series, contributing to the understanding of superheavy elements and nuclear stability."
118,Oganesson ,Og ,294,7,18,Expected to be a Gas,,Noble gas,,,,,"+6, +4, +2, +1, 0, -1",,,,,Yuri Oganessian,2002,,[Rn]7s2 7p6 5f14 6d10 (predicted),7,18,"Oganesson is a synthetic, radioactive element named after Yuri Oganessian, a Russian nuclear physicist who contributed significantly to the discovery of superheavy elements. It was first synthesized in 2002 by a team of Russian and American scientists at the Joint Institute for Nuclear Research in Dubna, Russia. Oganesson is produced by bombarding tennessine with calcium ions. Its most stable isotope, oganesson-294, has a half-life of about 0.89 milliseconds. Oganesson is notable for being the heaviest known element on the periodic table and is highly unstable, making it of little use outside of scientific research. It is studied primarily for its nuclear properties and its unique position in the periodic table. The discovery of oganesson continues to push the boundaries of atomic theory and helps scientists explore the limits of element stability."
